TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,PreviousTransactionDate,is_weekend,TransactionType,Location,Channel,CustomerOccupation,Target
14.09,70.0,81.0,1.0,5112.21,2023-04-11 16:29:14,2024-11-04 08:08:08,WeekDays,Debit,San Diego,ATM,Doctor,1
376.24,68.0,141.0,1.0,13758.91,2023-06-27 16:44:19,2024-11-04 08:09:35,WeekDays,Debit,Houston,ATM,Doctor,1
126.29,19.0,56.0,1.0,1122.35,2023-07-10 18:16:08,2024-11-04 08:07:04,WeekDays,Debit,Mesa,Online,Student,1
184.5,26.0,25.000000000000004,1.0,8569.06,2023-05-05 16:32:11,2024-11-04 08:09:06,WeekEnds,Debit,Raleigh,Online,Student,0
13.45,45.0,198.0,1.0,7429.4,2023-10-16 17:51:24,2024-11-04 08:06:39,WeekDays,Credit,Atlanta,Online,Student,0
92.15,18.0,172.0,1.0,781.68,2023-04-03 17:15:01,2024-11-04 08:06:36,WeekDays,Debit,Oklahoma City,ATM,Student,1
7.08,37.0,139.0,1.0,13316.71,2023-02-15 16:36:48,2024-11-04 08:10:09,WeekDays,Credit,Seattle,ATM,Doctor,0
171.42,67.0,291.0,1.0,2796.24,2023-05-08 17:47:59,2024-11-04 08:10:55,WeekDays,Credit,Indianapolis,Branch,Retired,1
106.23,51.0,86.0,1.0,9095.14,2023-03-21 16:59:46,2024-11-04 08:11:14,WeekDays,Credit,Detroit,Branch,Engineer,1
815.96,55.0,120.0,1.0,1021.8800000000001,2023-03-31 16:06:57,2024-11-04 08:06:32,WeekEnds,Debit,Nashville,ATM,Doctor,1
17.78,52.0,59.00000000000001,1.0,7599.5199999999995,2023-03-14 16:46:10,2024-11-04 08:06:45,WeekDays,Credit,Albuquerque,Online,Engineer,1
190.02,21.0,173.0,1.0,1528.81,2023-02-06 17:30:00,2024-11-04 08:07:12,WeekDays,Debit,Memphis,Online,Student,0
494.52,24.0,111.0,1.0,1620.02,2023-06-07 17:21:28,2024-11-04 08:08:38,WeekDays,Credit,Mesa,Branch,Student,0
781.76,26.0,123.0,1.0,189.69,2023-11-20 16:39:15,2024-11-04 08:07:06,WeekDays,Debit,Memphis,ATM,Student,0
166.99,18.0,134.0,1.0,299.93,2023-02-13 16:53:57,2024-11-04 08:10:09,WeekDays,Debit,Louisville,Online,Student,1
465.45,36.0,129.0,1.0,3465.54,2023-12-12 16:23:31,2024-11-04 08:12:19,WeekDays,Debit,Denver,ATM,Engineer,0
555.8,19.0,158.0,1.0,1131.26,2023-10-30 16:52:49,2024-11-04 08:07:35,WeekDays,Credit,Austin,Branch,Student,1
492.93,39.0,234.0,1.0,5109.97,2023-12-14 18:32:14,2024-11-04 08:11:51,WeekDays,Debit,Columbus,Online,Engineer,0
18.68,59.0,106.0,1.0,7948.369999999999,2023-02-21 16:56:50,2024-11-04 08:12:01,WeekDays,Credit,Albuquerque,Branch,Retired,1
71.48,18.0,169.0,1.0,6568.59,2023-06-08 18:18:50,2024-11-04 08:09:20,WeekDays,Credit,Columbus,Online,Student,1
59.32,71.0,37.99999999999999,1.0,5750.89,2023-02-28 16:36:58,2024-11-04 08:09:24,WeekDays,Debit,Los Angeles,Branch,Retired,1
85.77,38.0,93.0,1.0,9146.19,2023-08-11 18:31:31,2024-11-04 08:08:13,WeekEnds,Debit,Las Vegas,Branch,Doctor,0
52.2,39.0,120.0,1.0,8974.93,2023-06-06 18:54:15,2024-11-04 08:07:01,WeekDays,Debit,Atlanta,Online,Engineer,0
345.84,22.0,142.0,1.122664500406174,1402.5,2023-05-02 18:25:46,2024-11-04 08:07:04,WeekDays,Debit,Fort Worth,Online,Student,0
145.54,21.0,96.0,1.0,1930.96,2023-03-02 16:43:56,2024-11-04 08:07:09,WeekDays,Debit,Raleigh,Online,Student,0
7.49,65.0,276.0,1.0,3634.67,2023-10-20 17:53:13,2024-11-04 08:09:44,WeekEnds,Credit,Houston,Online,Retired,1
246.93,23.0,158.0,1.122664500406174,673.3499999999999,2023-04-17 16:37:01,2024-11-04 08:11:38,WeekDays,Debit,Miami,ATM,Student,0
40.32,37.0,95.0,1.0,2686.52,2023-03-29 16:42:38,2024-11-04 08:11:59,WeekDays,Debit,Milwaukee,Branch,Engineer,0
127.45,44.0,197.0,1.0,1772.06,2023-01-24 16:18:32,2024-11-04 08:11:22,WeekDays,Debit,Las Vegas,Online,Doctor,0
56.17,27.0,283.0,1.0,1351.69,2023-09-20 16:55:42,2024-11-04 08:08:30,WeekDays,Debit,Detroit,Branch,Student,0
28.31,59.0,20.0,1.0,8334.47,2023-07-17 17:49:22,2024-11-04 08:09:17,WeekDays,Credit,Miami,Online,Doctor,1
59.12,29.0,257.0,1.0,9823.64,2023-02-06 16:24:24,2024-11-04 08:06:58,WeekDays,Debit,Baltimore,ATM,Doctor,0
396.45,49.0,168.00000000000003,1.122664500406174,9690.15,2023-09-25 16:26:00,2024-11-04 08:11:13,WeekDays,Debit,New York,ATM,Engineer,0
877.81,22.0,150.0,1.0,399.0,2023-03-13 17:23:24,2024-11-04 08:07:50,WeekDays,Debit,Los Angeles,Online,Student,0
255.26,45.0,50.00000000000001,1.0,14815.87,2023-10-27 16:42:49,2024-11-04 08:10:51,WeekEnds,Credit,San Francisco,Branch,Doctor,0
124.76,49.0,45.0,1.0,5764.72,2023-10-16 16:32:56,2024-11-04 08:06:23,WeekDays,Debit,Seattle,Branch,Engineer,0
78.13,26.0,145.0,1.0,900.61,2023-11-21 16:58:44,2024-11-04 08:12:18,WeekDays,Debit,Milwaukee,Branch,Student,0
649.28,75.0,137.0,1.0,4875.86,2023-03-02 17:53:32,2024-11-04 08:11:15,WeekDays,Debit,San Jose,ATM,Retired,1
795.31,66.0,90.0,1.122664500406174,7914.879999999999,2023-10-12 17:07:40,2024-11-04 08:11:17,WeekDays,Debit,Mesa,ATM,Doctor,1
